Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
106,2017,1,102302,2020,1,481,0,NULL,4,4,0,1,8.07,4,3,1,0.75,7.38,8,7,1,0.875,7.72,0
413,2016,1,102301,2020,1,475,0,NULL,6,6,0,1,7.56,3,3,0,1,7.58,9,9,0,1,7.57,0
301,2016,1,102302,2020,1,605,0,NULL,5,4,1,0.8,7.86,4,3,1,0.75,8.13,9,7,2,0.7778,8,0
403,2019,1,102301,2020,1,505,1,50,5,4,0,0.8,6.48,5,5,0,1,8.05,10,9,0,0.9,7.26,0
409,2019,1,102301,2020,1,295,0,NULL,5,5,0,1,7.39,5,0,5,0,0,10,5,5,0.5,3.7,1
701,2019,1,102301,2020,1,697,0,NULL,5,3,2,0.6,6.49,3,0,3,0,2.02,8,3,5,0.375,4.25,1
413,2016,1,102302,2020,1,330,0,NULL,5,5,0,1,8.11,5,5,0,1,7.76,10,10,0,1,7.93,0
104,2017,1,102301,2020,1,496,0,NULL,4,2,1,0.5,4.58,3,1,1,0.3333,4.34,7,3,2,0.4286,4.46,0
105,2017,1,102301,2020,1,285,0,NULL,5,3,1,0.6,5.32,3,2,1,0.6667,5.89,8,5,2,0.625,5.6,0
702,2014,1,102301,2021,1,382,0,NULL,5,4,1,0.8,7.5,3,3,0,1,8.13,8,7,1,0.875,7.82,0
106,2017,1,102301,2021,1,141,0,NULL,4,4,0,1,6.96,4,2,1,0.5,5.52,8,6,1,0.75,6.24,0
702,2014,1,102301,2021,1,1079,0,NULL,5,5,0,1,7.5,5,4,0,0.8,6.74,10,9,0,0.9,7.12,0
219,2018,1,102301,2021,1,35,0,NULL,4,1,3,0.25,4.57,4,4,0,1,8.93,8,5,3,0.625,6.75,0
402,2019,1,102301,2021,1,251,0,NULL,4,2,1,0.5,5.08,4,4,0,1,7.79,8,6,1,0.75,6.44,0
302,2016,1,102302,2021,1,161,0,NULL,4,4,0,1,8.06,5,5,0,1,8.53,9,9,0,1,8.3,0
209,2019,1,102302,2021,1,453,0,NULL,5,5,0,1,9.04,5,5,0,1,9.19,10,10,0,1,9.11,0
701,2019,1,102301,2021,1,558,0,NULL,6,4,0,0.6667,5.77,6,6,0,1,8.23,12,10,0,0.8333,7,0
701,2019,1,102301,2021,1,394,0,NULL,6,5,0,0.8333,7.03,4,3,0,0.75,6.47,10,8,0,0.8,6.75,0
