Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
219,2013,1,102302,2018,1,489,0,NULL,3,3,0,1,7.06,3,3,0,1,7.7,6,6,0,1,7.38,0
109,2017,1,102301,2018,1,505,0,NULL,4,2,1,0.5,4.58,4,1,3,0.25,3.71,8,3,4,0.375,4.15,0
219,2013,1,102302,2018,1,369,0,NULL,3,3,0,1,7.98,3,3,0,1,7.33,6,6,0,1,7.65,0
219,2013,1,102302,2018,1,481,0,NULL,3,3,0,1,7.01,3,2,1,0.6667,6.86,6,5,1,0.8333,6.94,0
404,2015,1,102301,2018,1,602,0,NULL,5,4,0,0.8,7.13,5,5,0,1,8.86,10,9,0,0.9,8,0
701,2013,1,102301,2018,1,153,0,NULL,6,6,0,1,8.13,4,4,0,1,8.85,10,10,0,1,8.49,0
104,2017,1,102302,2018,1,475,0,NULL,4,1,3,0.25,3.83,3,0,2,0,3.45,7,1,5,0.1429,3.64,0
209,2014,1,102302,2018,1,347,0,NULL,4,4,0,1,8,4,3,0,0.75,5.54,8,7,0,0.875,6.77,0
449,2008,1,102302,2018,1,153,0,NULL,6,6,0,1,7.88,4,4,0,1,8.25,10,10,0,1,8.07,0
106,2017,1,102302,2018,1,330,0,NULL,4,2,2,0.5,4.55,3,0,1,0,1.57,7,2,3,0.2857,3.06,0
218,2013,1,102301,2018,1,169,0,NULL,3,2,1,0.6667,6.33,4,0,0,0,0,7,2,1,0.2857,3.17,1
219,2018,1,102302,2018,1,628,0,NULL,3,3,0,1,7.45,3,3,0,1,7.22,6,6,0,1,7.33,0
405,2017,1,102301,2018,1,447,0,NULL,4,1,2,0.25,3.33,3,0,3,0,5.02,7,1,5,0.1429,4.18,1
415,2014,1,102302,2018,1,450,1,100,5,5,0,1,7.41,5,5,0,1,7.54,10,10,0,1,7.48,0
211,2019,1,102302,2019,1,453,0,NULL,5,5,0,1,6.49,5,5,0,1,8.22,10,10,0,1,7.36,0
106,2017,1,102302,2019,1,153,0,NULL,4,4,0,1,9,4,4,0,1,8.1,8,8,0,1,8.55,0
207,2013,1,102302,2019,1,488,1,100,5,5,0,1,8.54,5,5,0,1,8.82,10,10,0,1,8.68,0
702,2014,1,102301,2019,1,285,0,NULL,5,2,3,0.4,3.91,3,0,3,0,1.53,8,2,6,0.25,2.72,1
802,2014,1,102302,2019,1,309,0,NULL,5,3,1,0.6,5.16,5,4,1,0.8,6.62,10,7,2,0.7,5.89,0
404,2019,1,102301,2019,1,488,0,NULL,4,2,1,0.5,5.21,4,3,0,0.75,5.55,8,5,1,0.625,5.38,0
219,2018,1,102302,2019,1,671,0,NULL,3,3,0,1,9.23,4,4,0,1,9.04,7,7,0,1,9.14,0
105,2017,1,102302,2019,1,176,0,NULL,4,2,1,0.5,5.23,3,3,0,1,6.08,7,5,1,0.7143,5.66,0
106,2017,1,102301,2019,1,187,0,NULL,4,2,1,0.5,4.86,4,3,1,0.75,6.52,8,5,2,0.625,5.69,0
206,2018,1,102302,2019,1,505,0,NULL,4,4,0,1,7.08,2,2,0,1,6.56,6,6,0,1,6.82,0
206,2018,1,102302,2019,1,297,0,NULL,4,4,0,1,7.57,2,2,0,1,6.36,6,6,0,1,6.96,0
202,2016,1,102302,2019,1,178,0,NULL,5,5,0,1,7.75,5,5,0,1,7.43,10,10,0,1,7.59,0
703,2013,1,102301,2019,1,363,0,NULL,6,5,1,0.8333,7.9,5,5,0,1,8.52,11,10,1,0.9091,8.21,0
409,2019,1,102301,2019,1,445,0,NULL,5,4,0,0.8,5.74,5,3,0,0.6,4.36,10,7,0,0.7,5.05,0
414,2019,1,102302,2019,1,301,0,NULL,4,3,1,0.75,7.08,5,4,1,0.8,7.56,9,7,2,0.7778,7.32,0
404,2015,1,102301,2015,1,243,0,NULL,5,0,2,0,2.88,3,0,3,0,3.46,8,0,5,0,3.17,0
211,2014,1,102302,2015,1,193,0,NULL,5,5,0,1,8.32,5,5,0,1,8.26,10,10,0,1,8.29,0
104,2009,1,102302,2015,1,285,0,NULL,5,1,2,0.2,3.36,3,0,3,0,2.07,8,1,5,0.125,2.71,1
219,2013,1,102302,2015,1,242,0,NULL,3,3,0,1,6.78,4,4,0,1,6.63,7,7,0,1,6.7,0
211,2014,1,102302,2015,1,227,0,NULL,5,1,4,0.2,5.24,3,1,2,0.3333,5.77,8,2,6,0.25,5.5,0
218,2013,1,102301,2015,1,18,0,NULL,3,1,2,0.3333,6,2,1,1,0.5,6.43,5,2,3,0.4,6.22,0
409,2014,1,102302,2015,1,18,0,NULL,5,2,2,0.4,3.29,3,1,2,0.3333,3.28,8,3,4,0.375,3.29,0
802,2014,1,102302,2015,1,735,0,NULL,5,4,0,0.8,5.62,6,4,1,0.6667,5.56,11,8,1,0.7273,5.59,0
219,2013,1,102302,2015,1,273,0,NULL,3,3,0,1,7.86,4,2,2,0.5,6.72,7,5,2,0.7143,7.29,0
202,2009,1,102301,2015,1,309,0,NULL,5,3,0,0.6,4.68,3,2,1,0.6667,6.13,8,5,1,0.625,5.41,1
444,2009,1,102301,2015,1,152,0,NULL,7,7,0,1,8.09,5,5,0,1,8.08,12,12,0,1,8.08,0
301,2016,1,102301,2016,1,285,0,NULL,5,4,0,0.8,6.54,5,4,0,0.8,6.38,10,8,0,0.8,6.46,0
303,2016,1,102302,2016,1,471,0,NULL,5,5,0,1,8.78,5,5,0,1,7.99,10,10,0,1,8.38,0
104,2017,1,102301,2016,1,338,0,NULL,5,1,4,0.2,3.36,2,0,2,0,5,7,1,6,0.1429,4.18,0
702,2014,1,102301,2016,1,202,0,NULL,5,4,1,0.8,7.05,5,1,2,0.2,4.68,10,5,3,0.5,5.86,0
302,2016,1,102301,2016,1,229,0,NULL,5,3,2,0.6,6.24,4,3,0,0.75,5.56,9,6,2,0.6667,5.9,0
218,2013,1,102301,2016,1,266,0,NULL,3,3,0,1,7.81,3,3,0,1,7.5,6,6,0,1,7.65,0
444,2009,1,102301,2016,1,152,0,NULL,7,7,0,1,6.96,5,5,0,1,6.7,12,12,0,1,6.83,0
218,2013,1,102301,2016,1,246,0,NULL,3,3,0,1,7.18,3,3,0,1,7.72,6,6,0,1,7.45,0
405,2015,1,102302,2016,1,520,0,NULL,5,5,0,1,8.18,5,5,0,1,7.57,10,10,0,1,7.87,0
